name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Colosseum,367721190,0,WDI6686,0-AllShips,37-Pleasure,164.1,282.2,15-NotDefined,0,1738654557,24,6,33.720208,-118.278795,2025-02-04T07:45:46Z
Knot So Fast,368114780,0,WDL2724,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738655060,12,4,33.716697,-118.278873,2025-02-04T07:45:46Z
Bellissima,538070539,0,V7PQ3,0-AllShips,37-Pleasure,285.6,340.1,15-NotDefined,0,1738654889,39,7,33.614675,-117.914493,2025-02-04T07:45:46Z
Tiburon,338010967,0,,0-AllShips,37-Pleasure,304.6,349.1,15-NotDefined,0,1738655031,12,4,34.167043,-119.223272,2025-02-04T07:45:46Z
Cazador,338148873,0,WDC9392,0-AllShips,37-Pleasure,309,30.7,15-NotDefined,0,1738655015,16,6,33.607153,-117.91482,2025-02-04T07:45:46Z
Serendipiter,338232506,0,SERENDI,0-AllShips,37-Pleasure,294.1,176.7,15-NotDefined,0,1738654952,10,10,33.848213,-118.397773,2025-02-04T07:45:46Z
Odessa,338395124,0,,0-AllShips,37-Pleasure,-1,45.9,15-NotDefined,0,1738655009,10,3,33.75977,-118.187328,2025-02-04T07:45:46Z
Waterbase,338467107,0,,0-AllShips,30-Fishing,-1,-1,15-NotDefined,0,1738654961,20,4,33.458725,-117.694423,2025-02-04T07:45:46Z
Blue Aweigh,338506574,0,,0-AllShips,37-Pleasure,25.4,89,15-NotDefined,0,1738654967,14,5,33.977203,-118.454697,2025-02-04T07:45:46Z
Tim Quigg,366926740,8987917,WDB6570,0-AllShips,52-Tug,25.8,124,0-Underway(Engine),0,1738655138,0,0,33.729683,-118.27665,2025-02-04T07:45:46Z
Sarah C.,367308610,0,WDD9226,0-AllShips,32-BigTow,195.1,254,5-Moored,0,1738655026,20,6,33.753325,-118.223785,2025-02-04T07:45:46Z
Capri Summer,367559940,0,WDG6717,0-AllShips,37-Pleasure,355.4,109.9,15-NotDefined,0,1738655010,15,4,33.719517,-118.27971,2025-02-04T07:45:46Z
Desire,368235320,0,WDM7573,0-AllShips,37-Pleasure,-1,2,15-NotDefined,0,1738654953,15,14,34.170013,-119.222305,2025-02-04T07:45:46Z
Lady Helvetia,368457000,0,WDM8556,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0.5,1738655090,14,4,33.773602,-118.246765,2025-02-04T07:45:46Z
Legacy,338348168,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0.2,1738654925,20,6,34.184865,-119.227385,2025-02-04T07:45:46Z
Mobillity,338149432,0,,0-AllShips,37-Pleasure,233.9,87.5,15-NotDefined,0,1738654835,9,4,33.60887,-117.890138,2025-02-04T07:45:46Z
So Glassy,338234443,0,,0-AllShips,37-Pleasure,294.4,163,15-NotDefined,0,1738654818,10,4,33.714917,-118.06108,2025-02-04T07:45:46Z
Ocean Glory,367721220,9681833,KOGH,0-AllShips,7-Cargo,252.4,286,1-AtAnchor,0.2,1738655016,171,25,33.733005,-118.229382,2025-02-04T07:45:46Z
Voyager,368117820,0,WDL3042,0-AllShips,36-Sailing,74.5,69.1,15-NotDefined,0,1738654643,13,4,33.720452,-118.276858,2025-02-04T07:45:46Z
Atlantic M,563172100,9907237,9V3514,0-AllShips,8-Tanker,168.6,271,5-Moored,0,1738655076,274,48,33.904268,-118.45122,2025-02-04T07:45:46Z
Luhrd Inn,338025945,0,,0-AllShips,37-Pleasure,-1,140.3,15-NotDefined,0,1738655089,12,4,33.725975,-118.075552,2025-02-04T07:45:46Z
Athena,338158603,0,ATHENA,0-AllShips,36-Sailing,223,59.5,15-NotDefined,0,1738654973,9,3,34.405847,-119.6922,2025-02-04T07:45:46Z
Water Buffalo,338350423,0,,0-AllShips,37-Pleasure,-1,352,15-NotDefined,0,1738654893,12,4,33.610143,-117.895805,2025-02-04T07:45:46Z
Tiki Tack,338395826,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654689,12,3,34.244683,-119.262073,2025-02-04T07:45:46Z
Papa Moku,338467114,0,,0-AllShips,36-Sailing,281,190.8,15-NotDefined,0,1738655009,12,4,33.72085,-118.2808,2025-02-04T07:45:46Z
Tortuga,338513765,0,,0-AllShips,37-Pleasure,151.2,70,15-NotDefined,0,1738655000,22,6,33.720932,-118.27903,2025-02-04T07:45:46Z
Bailiwick,367563270,0,WDG7039,0-AllShips,37-Pleasure,322.9,-1,15-NotDefined,0,1738655107,20,6,34.40648,-119.689998,2025-02-04T07:45:46Z
C Hero,368530000,9271705,WDP3837,9-NoInfo,9-Other,91.3,179,5-Moored,0,1738654881,79,17,34.149042,-119.206283,2025-02-04T07:45:46Z
Sea Sharp,338238144,0,,0-AllShips,37-Pleasure,-1,452,15-NotDefined,0,1738655071,0,0,33.758523,-118.185453,2025-02-04T07:45:46Z
Echoes,366927930,0,WDB6636,0-AllShips,37-Pleasure,241.6,68.7,5-Moored,0,1738655024,30,8,33.613375,-117.924598,2025-02-04T07:45:46Z
Agua Mar,367309970,0,WDL5698,0-AllShips,37-Pleasure,-1,266,15-NotDefined,0,1738655056,12,5,33.610405,-117.895312,2025-02-04T07:45:46Z
Cinnabar,368117970,0,WDN5478,0-AllShips,37-Pleasure,229,-1,15-NotDefined,0.1,1738654927,10,4,34.40541,-119.691025,2025-02-04T07:45:46Z
